synset,resource,xref,misc,confidence
00197447-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00197576-a,sumo,BackFn,=,
00198147-a,sumo,FrontFn,=,
00198904-a,sumo,FrontFn,"⊂",
00199569-a,sumo,Guiding,"⊂",
00200026-a,sumo,Artifact,"⊂",
00201130-a,sumo,part,"⊂",
00201354-a,sumo,BackFn,"⊂",
00203237-a,sumo,FrontFn,"⊂",
00203774-a,sumo,EngineeringComponent,"⊂",
00203917-a,sumo,EngineeringComponent,"⊂",
00204077-a,sumo,TraitAttribute,"⊂",
00204491-a,sumo,TraitAttribute,"⊂",
00206003-a,sumo,Building,"⊂",
00206127-a,sumo,Building,"⊂",
00206205-a,sumo,Object,"⊂",
00206317-a,sumo,Object,"⊂",
00206403-a,sumo,ShapeAttribute,"⊂",
00207467-a,sumo,Animal,"⊂",
00207547-a,sumo,Artifact,"⊂",
00207961-a,sumo,Artifact,"⊂",
00208052-a,sumo,Position,"⊂",
00208150-a,sumo,Position,"⊂",
00208229-a,sumo,Mineral,"⊂",
00208946-a,sumo,Mineral,"⊂",
00209079-a,sumo,Fern,"⊂",
00209550-a,sumo,Fern,"⊂",
00209620-a,sumo,FloweringPlant,"⊂",
00210212-a,sumo,FloweringPlant,"⊂",
00210281-a,sumo,Artifact,"⊂",
00210371-a,sumo,Artifact,"⊂",
00210446-a,sumo,BodyPart,"⊃",
00212173-a,sumo,Animal,"⊂",
00216858-a,sumo,FloweringPlant,"⊂",
00217183-a,sumo,Organism,"⊂",
00217297-a,sumo,EngineeringComponent,"⊂",
00217563-a,sumo,EngineeringComponent,"⊂",
00217728-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00220956-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00222662-a,sumo,BodyPart,"⊂",
00222873-a,sumo,BodyPart,"⊂",
00222969-a,sumo,Artifact,"⊂",
00223119-a,sumo,Artifact,"⊂",
00223220-a,sumo,Clothing,"⊂",
00223683-a,sumo,Clothing,"⊂",
00223802-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00224166-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00224731-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00226535-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00226618-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00227003-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00227507-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00229630-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00230335-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00231252-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00231761-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00232068-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00232234-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00233151-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00233263-a,sumo,Government,"⊂",
00233353-a,sumo,Government,"⊂",
00233442-a,sumo,PositionalAttribute,"⊂",
00234106-a,sumo,PositionalAttribute,"⊂",
00234872-a,sumo,SelfConnectedObject,"⊂",
00236483-a,sumo,BodyPart,"⊂",
00236839-a,sumo,Artifact,"⊂",
00236922-a,sumo,Artifact,"⊂",
00236989-a,sumo,part,"⊂",
00237240-a,sumo,part,"⊂",
00240197-a,sumo,Collection,"⊂",
00240323-a,sumo,Collection,"⊂",
00240417-a,sumo,BodyPart,"⊂",
00240842-a,sumo,BodyPart,"⊂",
00241260-a,sumo,Cell,"⊂",
00241397-a,sumo,Cell,"⊂",
00241672-a,sumo,Animal,"⊂",
00241816-a,sumo,Animal,"⊂",
00241952-a,sumo,Human,"⊂",
00243180-a,sumo,WhiteEthnicity,=,
00243606-a,sumo,Human,"⊂",
00244503-a,sumo,Human,"⊂",
00245952-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00247013-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00247439-a,sumo,Blood,"⊂",
00249433-a,sumo,BodySubstance,"⊂",
00249721-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00251809-a,sumo,PsychologicalAttribute,"⊂",
00252954-a,sumo,NormativeAttribute,"⊂",
00254152-a,sumo,Attaching,"⊃",
00254516-a,sumo,Attaching,"⊂",
00254615-a,sumo,Attaching,"⊃",
00254746-a,sumo,Attaching,"⊂",
00254983-a,sumo,Attaching,"⊃",
00255057-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00256453-a,sumo,Attaching,"⊃",
00256636-a,sumo,Book,"⊂",
00257462-a,sumo,Book,"⊂",
00257742-a,sumo,Artifact,"⊂",
00259256-a,sumo,meetsSpatially,"⊂",
00259568-a,sumo,SocialRole,"⊂",
00260430-a,sumo,SubjectiveAssessmentAttribute,=,
00261245-a,sumo,SocialRole,"⊂",
00262124-a,sumo,BodyPart,"⊂",
00262529-a,sumo,BodyPart,"⊂",
00262792-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00264776-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00266634-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00266985-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00267145-a,sumo,NonFullyFormed,"⊂",
00267356-a,sumo,NonFullyFormed,"⊂",
00267452-a,sumo,Breathing,=,
00267871-a,sumo,Breathing,"⊂",
00268869-a,sumo,Mineral,"⊂",
00269486-a,sumo,Mineral,"⊂",
00269758-a,sumo,possesses,"⊂",
00269894-a,sumo,possesses,"⊂",
00269989-a,sumo,RadiatingLight,"⊂",
00273082-a,sumo,RadiatingLight,"⊃",
00276472-a,sumo,VisualAttribute,"⊂",
00277183-a,sumo,VisualAttribute,"⊂",
00277550-a,sumo,VisualAttribute,"⊂",
00277867-a,sumo,VisualAttribute,"⊂",
00278006-a,sumo,Illuminated,"⊂",
00278131-a,sumo,AstronomicalBody,"⊂",
00278266-a,sumo,capability,"⊂",
00278418-a,sumo,capability,"⊂",
00278551-a,sumo,RadiatingLight,"⊂",
00283703-a,sumo,RadiatingLight,"⊂",
00284575-a,sumo,Decreasing,"⊂",
00284930-a,sumo,RadiatingLight,"⊂",
00285148-a,sumo,believes,"⊂",
00286214-a,sumo,believes,"⊂",
00286578-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00287640-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00288685-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00288809-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00289082-a,sumo,Detaching,=,
00289365-a,sumo,Separating,"⊃",
00289594-a,sumo,NormativeAttribute,"⊂",
00289799-a,sumo,NormativeAttribute,"⊂",
00289983-a,sumo,Separating,"⊂",
00290923-a,sumo,Separating,"⊃",
00291471-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00291665-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00292298-a,sumo,sibling,"⊂",
00292448-a,sumo,sibling,"⊂",
00292611-a,sumo,Putting,"⊂",
00292872-a,sumo,Putting,"⊃",
00292937-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00294175-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00295657-a,sumo,Bone,"⊂",
00296354-a,sumo,Bone,"⊃",
00296625-a,sumo,Attaching,"⊂",
00297097-a,sumo,Attaching,"⊃",
00297403-a,sumo,believes,"⊂",
00298041-a,sumo,believes,"⊂",
00298767-a,sumo,SoundAttribute,"⊂",
00300738-a,sumo,SoundAttribute,"⊂",
00301187-a,sumo,capability,"⊂",
00301777-a,sumo,capability,"⊂",
00302761-a,sumo,Motion,"⊃",
00303727-a,sumo,Motion,"⊂",
00306131-a,sumo,Putting,"⊂",
00306232-a,sumo,Putting,"⊃",
00306314-a,sumo,capability,=,
00307474-a,sumo,capability,"⊂",
00308015-a,sumo,capability,"⊂",
00308188-a,sumo,capability,"⊂",
00308355-a,sumo,IntentionalProcess,"⊂",
00308593-a,sumo,IntentionalProcess,"⊃",
00309021-a,sumo,SubjectiveAssessmentAttribute,=,
00311663-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00313387-a,sumo,Organism,"⊂",
00314023-a,sumo,Animal,"⊂",
00315109-a,sumo,Animal,"⊂",
00315383-a,sumo,Organism,"⊂",
00315805-a,sumo,Animal,"⊂",
00315931-a,sumo,Plant,"⊂",
00316046-a,sumo,Plant,"⊂",
00316167-a,sumo,Plant,"⊂",
00316274-a,sumo,Covering,"⊂",
00316477-a,sumo,Covering,"⊃",
00316572-a,sumo,TransportationDevice,"⊂",
00316827-a,sumo,TransportationDevice,"⊂",
00317008-a,sumo,Artifact,"⊂",
00317821-a,sumo,Cutting,"⊃",
00317886-a,sumo,Text,"⊂",
00318082-a,sumo,Text,"⊂",
00318291-a,sumo,Text,"⊂",
00318498-a,sumo,Plant,"⊂",
00318667-a,sumo,Plant,"⊂",
00318942-a,sumo,RegulatoryProcess,"⊂",
00319262-a,sumo,RegulatoryProcess,"⊃",
00319534-a,sumo,Animal,"⊂",
00320847-a,sumo,Animal,"⊂",
00321094-a,sumo,Plant,"⊂",
00322321-a,sumo,Plant,"⊂",
00322457-a,sumo,causes,=,
00325197-a,sumo,causes,"⊂",
00325281-a,sumo,TraitAttribute,"⊂",
00326436-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00327031-a,sumo,ShapeAttribute,"⊂",
00328128-a,sumo,ShapeAttribute,"⊂",
00328528-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00328653-a,sumo,SubjectiveAssessmentAttribute,"⊂",
00328798-a,sumo,Separating,"⊂",
00329268-a,sumo,Separating,"⊃",
00329396-a,sumo,ShapeAttribute,"⊂",
00329695-a,sumo,ShapeAttribute,"⊂",
00329831-a,sumo,holdsRight,"⊂",
00331446-a,sumo,PositionalAttribute,"⊂",
00332375-a,sumo,Motion,"⊂",
00332869-a,sumo,Motion,"⊂",
00333351-a,sumo,BodyPart,"⊂",
00333987-a,sumo,BodyPart,"⊂",
00334702-a,sumo,Motion,"⊂",
00335090-a,sumo,Motion,"⊂",
00335421-a,sumo,knows,"⊂",
00336168-a,sumo,believes,"⊂",
00336831-a,sumo,knows,"⊂",
00337404-a,sumo,believes,"⊂",
00338421-a,sumo,believes,"⊂",
00338551-a,sumo,believes,"⊂",
00338817-a,sumo,EmotionalState,"⊂",
00339941-a,sumo,EmotionalState,"⊂",
00340239-a,sumo,Likely,"⊂",
00341405-a,sumo,Unlikely,"⊂",
00342250-a,sumo,Declaring,"⊂",
00342902-a,sumo,Certificate,"⊃",
00343015-a,sumo,Necessity,"⊂",
00343700-a,sumo,Possibility,"⊂",
00343883-a,sumo,capability,"⊂",
00344024-a,sumo,capability,"⊂",
00344125-a,sumo,capability,"⊂",
00346991-a,sumo,capability,"⊂",
00348198-a,sumo,capability,"⊂",
00348808-a,sumo,capability,"⊂",
00349295-a,sumo,capability,"⊂",
00349523-a,sumo,capability,"⊂",
00350069-a,sumo,capability,"⊂",
00350384-a,sumo,capability,"⊂",
00350621-a,sumo,Aerating,"⊂",
00351226-a,sumo,Process,"⊂",
00351523-a,sumo,TraitAttribute,"⊂",
00351818-a,sumo,TraitAttribute,"⊂",
